task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Download spacy model,2024-05-02T11:35:17,assignment1_subtasks,26211222-2a25-4f3b-bdb1-cce21520ce40,3.0309877395629883,2.7890998527818344e-05,9.203165041084425e-06,42.5,0.0,141.20075225830078,3.5773926311069066e-05,0,0.00011881707086115512,0.00015459099717222418,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.2,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
Extract linguistic information,2024-05-02T12:17:43,assignment1_subtasks,26211222-2a25-4f3b-bdb1-cce21520ce40,2545.183932542801,0.023431904050416234,9.206366152748813e-06,42.5,0.0,141.20075225830078,0.03004732062485483,0,0.09982832399162596,0.1298756446164808,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.2,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
