Filename,RelFreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
0102.a4.txt,1568.82,1116.46,567.85,346.49,10,0,5
0103.a4.txt,998.25,1190.89,414.48,297.72,11,0,4
0104.a4.txt,1489.16,1121.58,650.33,386.43,5,0,4
0105.a4.txt,1412.3,1150.34,546.7,728.93,6,0,2
0106.a4.txt,1383.71,1079.49,716.39,412.17,7,0,5
0107.a4.txt,1532.99,1319.8,659.9,436.55,5,0,2
0108.a4.txt,1442.92,1305.94,621.0,392.69,9,0,2
0109.a4.txt,1668.21,1139.94,658.02,389.25,3,0,3
0110.a4.txt,1796.06,1158.75,614.14,336.04,3,0,1
0111.a4.txt,1431.6,1230.12,678.69,392.36,4,0,4
0112.a4.txt,1432.99,1185.57,546.39,391.75,1,0,4
0115.a4.txt,1869.47,851.77,719.03,519.91,3,0,3
0119.a4.txt,1559.14,1365.59,473.12,365.59,2,0,4
0120.a4.txt,1271.62,1383.52,549.34,335.71,5,0,4
0121.a4.txt,1392.19,1086.59,602.72,458.4,9,0,3
0122.a4.txt,1651.31,1041.81,609.5,403.97,7,0,5
0127.a4.txt,1226.42,1143.87,530.66,648.58,6,0,5
0128.a4.txt,1830.27,1104.29,521.47,388.55,3,0,2
0130.a4.txt,1632.84,996.31,479.7,498.15,8,0,3
0134.a4.txt,1313.8,992.44,784.5,349.72,4,0,0
0135.a4.txt,1672.1,1009.77,716.61,575.46,8,0,2
0136.a4.txt,1350.53,1130.5,629.74,318.66,9,1,3
0137.a4.txt,1794.02,996.68,542.64,398.67,5,0,5
0139.a4.txt,1404.3,838.05,770.1,305.78,6,0,2
0140.a4.txt,1419.28,1050.92,552.55,444.2,7,0,4
0149.a4.txt,1389.89,1179.3,691.94,330.93,6,0,5
0156.a4.txt,1255.98,1279.9,514.35,454.55,3,0,5
0157.a4.txt,1392.41,1075.95,717.3,569.62,7,0,1
0158.a4.txt,1383.47,1095.64,677.81,575.67,6,0,1
0159.a4.txt,1564.36,1069.31,633.66,465.35,7,0,4
0161.a4.txt,1638.86,1089.3,736.02,284.59,4,0,4
0165.a4.txt,1869.33,1016.33,408.35,399.27,7,0,2
0168.a4.txt,1509.55,1031.85,636.94,477.71,14,0,6
0169.a4.txt,1473.8,1277.29,720.52,349.34,3,0,1
0171.a4.txt,1422.92,1017.79,612.65,345.85,7,0,3
0175.a4.txt,1556.95,1076.28,710.55,407.52,7,0,2
0176.a4.txt,1592.66,994.21,588.8,530.89,10,0,3
0177.a4.txt,1092.94,1411.36,740.1,516.35,6,0,4
0178.a4.txt,1739.13,1070.23,710.7,451.51,4,0,3
0179.a4.txt,1762.38,1049.5,910.89,217.82,10,0,2
0185.a4.txt,1625.26,1149.07,703.93,341.61,8,0,1
0186.a4.txt,1529.28,1247.29,542.3,347.07,2,0,5
0187.a4.txt,1384.27,1339.98,531.56,332.23,4,0,7
0188.a4.txt,1680.59,1021.36,612.81,464.25,6,0,2
0190.a4.txt,1331.95,1050.99,478.67,343.39,4,1,5
0192.a4.txt,1777.78,1195.77,444.44,359.79,2,0,2
0193.a4.txt,1464.09,1042.82,455.8,255.52,6,0,5
0194.a4.txt,1681.86,1185.41,577.51,395.14,7,0,3
0195.a4.txt,1596.47,1145.94,381.98,323.21,5,0,4
0196.a4.txt,1244.17,1205.29,583.2,419.91,5,0,2
0197.a4.txt,1394.38,1217.48,478.67,405.83,6,0,4
0198.a4.txt,1129.5,1148.98,428.43,360.27,4,0,5
0199.a4.txt,1635.15,956.62,734.15,411.57,8,0,3
0200.a4.txt,1477.99,1310.27,555.56,649.9,5,0,1
0202.a4.txt,1393.09,1468.68,367.17,194.38,2,0,2
0204.a4.txt,1481.91,1085.18,536.76,373.4,7,0,1
0205.a4.txt,1406.63,1067.1,533.55,468.88,11,0,3
0206.a4.txt,1151.02,1044.9,636.73,424.49,7,0,6
0208.a4.txt,1022.0,1398.15,511.0,574.88,7,0,4
0213.a4.txt,1744.55,1069.57,508.83,488.06,3,1,3
0214.a4.txt,1245.87,1312.02,551.27,606.39,7,0,6
0215.a4.txt,1739.13,950.08,587.76,314.01,11,0,4
0216.a4.txt,1448.28,1301.72,474.14,293.1,8,0,4
0218.a4.txt,1244.9,1173.47,622.45,214.29,5,1,1
0219.a4.txt,1230.12,1198.3,774.13,625.66,7,0,1
0222.a4.txt,1680.58,1221.29,605.43,427.97,3,0,3
0223.a4.txt,1370.0,1380.0,460.0,390.0,5,0,4
0224.a4.txt,1321.23,1127.11,670.01,369.44,9,0,5
0227.a4.txt,1746.89,1125.78,411.49,326.09,8,0,3
0234.a4.txt,1636.17,990.31,753.5,527.45,9,0,2
0235.a4.txt,1466.52,1168.97,658.87,297.56,5,0,4
0237.a4.txt,1496.82,1210.19,732.48,467.09,3,0,1
0238.a4.txt,1481.48,1310.54,474.83,313.39,5,0,1
1003.a4.txt,1903.28,1060.84,624.02,296.41,4,0,1
1005.a4.txt,1569.97,989.76,503.41,392.49,7,0,4
1006.a4.txt,1933.01,842.11,803.83,459.33,8,0,2
1008.a4.txt,1632.05,989.12,712.17,553.91,6,2,3
1009.a4.txt,1700.0,1055.56,577.78,377.78,7,0,2
1010.a4.txt,1706.73,825.32,753.21,472.76,11,0,3
1012.a4.txt,1734.8,957.13,777.67,358.92,8,0,1
1013.a4.txt,1408.87,1083.74,669.95,305.42,10,0,0
1014.a4.txt,1396.3,1283.37,574.95,390.14,8,0,1
1017.a4.txt,1527.99,1051.44,756.43,544.63,3,0,1
1018.a4.txt,1502.84,1210.4,641.75,430.54,8,0,2
1021.a4.txt,1641.38,1020.69,827.59,455.17,8,0,0
