Filename,RelFreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
0100.a2.txt,2103.32,1303.81,799.51,369.0,1,0,2
0101.a2.txt,2064.52,954.84,554.84,722.58,0,0,0
0102.a2.txt,1832.34,1137.72,646.71,682.63,0,1,1
0103.a2.txt,1916.17,1221.56,1017.96,395.21,0,0,1
0104.a2.txt,2077.11,982.59,733.83,335.82,4,0,1
0105.a2.txt,1755.73,1259.54,877.86,585.24,0,0,2
0106.a2.txt,1674.7,1132.53,734.94,542.17,0,1,1
0107.a2.txt,1601.38,1336.41,748.85,541.47,2,0,3
0109.a2.txt,1605.26,1197.37,618.42,368.42,2,0,2
0110.a2.txt,2244.9,1301.02,573.98,535.71,1,1,2
0111.a2.txt,1910.27,1389.29,506.51,680.17,0,0,0
0112.a2.txt,2200.0,1023.53,776.47,482.35,0,0,1
0113.a2.txt,1993.28,1187.01,795.07,638.3,0,0,0
0115.a2.txt,2175.03,1274.13,682.11,643.5,0,0,1
0118.a2.txt,1759.78,1438.55,851.96,432.96,1,0,1
0119.a2.txt,1791.98,1303.26,676.69,413.53,0,0,0
0120.a2.txt,1888.75,1216.04,763.26,543.34,0,3,0
0121.a2.txt,2039.63,769.23,745.92,419.58,2,3,1
0122.a2.txt,1852.37,1072.42,724.23,473.54,1,0,4
0125.a2.txt,1799.71,1161.1,1161.1,420.9,0,0,1
0127.a2.txt,1994.13,1158.36,835.78,718.48,1,1,1
0128.a2.txt,1840.56,1008.21,750.29,562.72,2,0,1
0130.a2.txt,1801.51,1003.24,636.46,507.01,4,2,0
0131.a2.txt,2252.48,1163.37,594.06,569.31,0,0,1
0133.a2.txt,1800.39,998.04,949.12,518.59,1,0,1
0134.a2.txt,1779.98,828.18,951.79,741.66,0,0,0
0135.a2.txt,1841.49,1025.64,885.78,512.82,1,0,3
0136.a2.txt,1997.53,1183.72,863.13,308.26,0,0,0
0137.a2.txt,1676.58,1224.73,594.53,594.53,0,0,0
0138.a2.txt,1858.06,1264.52,735.48,451.61,0,0,1
0139.a2.txt,1797.3,1202.7,756.76,581.08,0,0,0
0140.a2.txt,1773.7,1151.89,825.69,448.52,0,0,0
0142.a2.txt,2282.71,1136.58,811.84,382.04,0,0,0
0143.a2.txt,1971.83,1137.59,920.91,422.54,0,0,0
0146.a2.txt,1604.68,1434.64,669.5,510.1,0,0,0
0148.a2.txt,1939.25,1109.81,525.7,432.24,0,5,4
0149.a2.txt,1986.18,1243.52,647.67,708.12,0,0,3
0150.a2.txt,1631.58,1394.74,644.74,460.53,0,0,0
0155.a2.txt,2035.85,1267.61,1139.56,665.81,0,0,1
0156.a2.txt,1784.7,1076.49,694.05,509.92,1,0,0
0157.a2.txt,1170.08,1423.4,506.63,591.07,0,0,2
0158.a2.txt,1679.49,1269.23,564.1,717.95,0,0,0
0159.a2.txt,1813.78,1064.09,834.34,749.7,0,0,0
0161.a2.txt,2112.68,1138.5,692.49,528.17,0,1,5
0162.a2.txt,2007.82,1225.55,717.08,365.06,0,0,0
0163.a2.txt,1679.59,968.99,943.15,736.43,0,0,0
0165.a2.txt,2017.29,979.83,778.1,475.5,2,1,1
0167.a2.txt,1758.84,942.88,834.09,607.43,0,0,1
0168.a2.txt,2295.24,1285.71,790.48,438.1,2,3,0
0169.a2.txt,1828.4,1133.81,1246.17,531.15,1,0,1
0171.a2.txt,1805.73,1058.53,797.01,460.77,1,0,1
0172.a2.txt,2120.42,1112.57,628.27,497.38,2,0,0
0173.a2.txt,2165.9,829.49,1186.64,472.35,4,0,1
0174.a2.txt,2255.89,1156.0,909.09,258.14,0,0,2
0175.a2.txt,1797.18,1373.56,629.01,436.46,0,0,1
0176.a2.txt,2155.29,937.08,736.28,428.38,0,0,0
0177.a2.txt,1515.84,995.48,837.1,576.92,0,1,1
0178.a2.txt,1955.87,1123.37,952.86,702.11,1,0,0
0179.a2.txt,1986.75,1205.3,993.38,397.35,0,0,0
0180.a2.txt,1991.1,1179.09,645.16,611.79,1,0,0
0182.a2.txt,1648.63,982.51,840.97,466.28,3,1,7
0185.a2.txt,1739.13,1135.27,591.79,446.86,0,1,0
0186.a2.txt,1616.92,1318.41,634.33,646.77,0,0,0
0187.a2.txt,1790.5,1059.68,937.88,389.77,3,0,0
0188.a2.txt,1597.63,1065.09,863.91,449.7,1,0,1
0189.a2.txt,1713.96,896.71,760.5,442.68,1,1,1
0190.a2.txt,1240.51,1354.43,531.65,658.23,0,0,0
0191.a2.txt,1810.93,1287.02,660.59,489.75,0,0,4
0192.a2.txt,1913.15,1185.45,551.64,633.8,1,0,1
0193.a2.txt,2158.59,1222.47,837.0,418.5,0,1,3
0194.a2.txt,1914.89,1151.44,926.16,375.47,0,0,2
0195.a2.txt,1243.9,1073.17,573.17,487.8,1,4,5
0196.a2.txt,1990.85,1258.58,743.71,320.37,0,0,0
0197.a2.txt,1840.41,952.38,759.33,604.89,1,0,0
0198.a2.txt,1856.12,1021.58,791.37,359.71,1,0,0
0199.a2.txt,1920.69,1102.85,879.8,359.36,0,0,0
0200.a2.txt,1638.03,1317.3,698.74,561.28,0,1,3
0201.a2.txt,1452.05,835.62,753.42,328.77,0,0,6
0202.a2.txt,2105.26,1370.87,783.35,342.72,0,0,1
0203.a2.txt,1718.75,937.5,1033.65,588.94,1,0,1
0204.a2.txt,1936.42,1112.72,650.29,447.98,0,1,1
0205.a2.txt,2006.17,1018.52,823.05,452.67,2,0,4
0206.a2.txt,1853.28,1068.21,707.85,553.41,1,1,0
0207.a2.txt,1838.93,1261.74,711.41,483.22,0,0,0
0208.a2.txt,1681.9,1316.27,740.4,557.59,5,0,0
0209.a2.txt,2317.22,892.19,755.89,272.61,2,0,0
0213.a2.txt,1754.18,1443.91,871.12,548.93,0,0,1
0214.a2.txt,1923.96,979.26,875.58,599.08,1,1,1
0215.a2.txt,1650.0,1412.5,962.5,462.5,0,0,0
0216.a2.txt,1639.91,1123.85,940.37,263.76,0,0,1
0218.a2.txt,2268.8,1171.39,715.17,332.92,0,0,0
0219.a2.txt,1541.22,1278.38,609.32,645.16,0,0,0
0221.a2.txt,2141.9,1044.18,508.7,321.29,0,0,2
0222.a2.txt,1935.9,1166.67,615.38,397.44,2,6,2
0223.a2.txt,1923.08,1008.32,987.53,259.88,0,2,3
0224.a2.txt,1726.95,1096.85,455.08,361.73,4,0,1
0226.a2.txt,1829.73,1118.17,813.21,571.79,0,0,0
0227.a2.txt,1871.48,901.92,969.56,541.15,0,1,0
0231.a2.txt,2087.16,1135.32,561.93,424.31,1,0,1
0232.a2.txt,1578.28,1262.63,707.07,719.7,0,0,1
0234.a2.txt,2018.11,944.37,944.37,633.89,2,0,2
0235.a2.txt,2263.68,1243.78,907.96,485.07,0,0,1
0236.a2.txt,1536.61,1128.45,840.34,504.2,0,0,0
0237.a2.txt,1939.89,737.7,628.42,368.85,3,0,4
0238.a2.txt,1839.8,1276.6,575.72,500.63,0,0,0
1002.a2.txt,1743.77,1316.73,628.71,403.32,0,0,2
1003.a2.txt,1779.01,1071.82,828.73,386.74,3,0,1
1005.a2.txt,1686.97,984.07,993.44,571.7,4,0,1
1006.a2.txt,1668.04,1056.98,710.16,445.91,1,0,2
1007.a2.txt,1985.82,1252.96,591.02,401.89,0,0,4
1008.a2.txt,1832.52,1152.91,679.61,509.71,0,0,1
1009.a2.txt,2004.69,1184.06,691.68,316.53,0,2,0
1010.a2.txt,2009.76,985.37,946.34,468.29,0,1,2
1012.a2.txt,1949.04,1133.76,955.41,445.86,0,0,1
1013.a2.txt,1696.75,1107.1,818.29,577.62,0,0,1
1014.a2.txt,1863.75,1285.35,822.62,411.31,1,0,0
1016.a2.txt,1666.67,1357.53,631.72,510.75,0,0,1
1017.a2.txt,1794.65,888.7,957.72,500.43,3,2,6
1018.a2.txt,2048.19,1095.29,952.9,372.4,0,0,0
1019.a2.txt,2283.74,719.72,1100.35,339.1,2,1,2
1020.a2.txt,1736.0,1264.0,448.0,544.0,0,0,3
1021.a2.txt,1731.71,1073.17,743.9,365.85,2,0,1
1022.a2.txt,2223.56,1298.08,540.87,396.63,0,1,0
1023.a2.txt,1844.31,1017.96,766.47,778.44,3,0,0
1026.a2.txt,1486.9,1394.45,608.63,285.05,0,0,1
1029.a2.txt,2134.54,944.37,750.32,413.97,0,0,2
1031.a2.txt,2154.4,987.43,700.18,323.16,0,0,2
1032.a2.txt,1387.21,1242.46,422.2,627.26,2,0,0
1034.a2.txt,1397.48,1030.93,813.29,458.19,0,0,1
1036.a2.txt,1682.42,1266.54,491.49,567.11,0,1,1
1039.a2.txt,884.85,1769.7,472.73,775.76,0,0,3
1041.a2.txt,1672.77,1404.15,634.92,476.19,2,0,3
1043.a2.txt,1374.7,1253.04,523.11,571.78,0,0,1
1044.a2.txt,1516.01,875.71,819.21,687.38,3,1,2
1048.a2.txt,2066.35,1137.44,701.42,445.5,0,0,1
1049.a2.txt,2454.31,1044.39,900.78,443.86,0,0,1
1050.a2.txt,1900.92,921.66,944.7,518.43,1,0,0
1055.a2.txt,1618.8,1331.59,848.56,417.75,0,0,1
1056.a2.txt,1827.62,1163.03,674.97,591.9,5,0,2
1057.a2.txt,1238.32,1191.59,689.25,432.24,1,0,0
1058.a2.txt,2220.59,1235.29,838.24,661.76,0,0,4
1060.a2.txt,1385.37,936.59,760.98,624.39,7,1,3
1061.a2.txt,1498.3,1328.04,737.8,578.89,0,0,0
1062.a2.txt,2065.83,1032.92,726.45,442.68,0,0,1
1064.a2.txt,1889.86,1063.83,700.88,700.88,0,0,3
1065.a2.txt,1671.21,1117.17,762.94,735.69,1,0,0
1067.a2.txt,2358.85,1279.8,1041.41,464.24,0,0,2
1068.a2.txt,1559.85,1039.9,906.89,338.57,0,1,10
1069.a2.txt,1979.38,824.74,742.27,515.46,3,0,6
1070.a2.txt,1876.48,1140.14,629.45,546.32,0,1,1
1072.a2.txt,2101.52,883.25,862.94,375.63,0,1,5
1074.a2.txt,1966.87,1097.31,890.27,507.25,0,0,0
1077.a2.txt,1821.66,1057.32,777.07,573.25,4,0,5
1078.a2.txt,1195.22,1248.34,717.13,557.77,0,0,2
1081.a2.txt,1668.42,1049.32,713.54,398.74,2,0,6
1088.a2.txt,1899.89,1126.28,944.25,455.06,0,0,0
1090.a2.txt,1969.23,1220.51,615.38,512.82,0,0,2
1092.a2.txt,1445.93,1215.07,558.93,692.59,1,0,2
1094.a2.txt,1600.96,1278.38,681.0,633.21,0,0,0
1095.a2.txt,1848.23,1407.59,599.76,403.92,0,0,0
1097.a2.txt,2081.83,1083.03,746.09,445.25,1,0,2
1098.a2.txt,1720.09,1314.1,683.76,384.62,4,0,2
1099.a2.txt,2058.82,1098.04,519.61,480.39,3,0,0
1100.a2.txt,1857.14,1376.62,714.29,584.42,1,1,1
1102.a2.txt,1834.86,1169.72,711.01,458.72,0,2,1
1103.a2.txt,1840.19,1174.33,665.86,617.43,0,0,0
1104.a2.txt,1980.32,1107.01,836.41,418.2,1,0,0
1105.a2.txt,1875.0,1099.54,590.28,543.98,0,0,0
1106.a2.txt,1978.26,902.17,793.48,554.35,3,1,7
1109.a2.txt,1930.84,1224.78,1051.87,317.0,0,0,0
1112.a2.txt,1572.67,1247.29,824.3,618.22,1,0,1
1121.a2.txt,1585.23,1053.2,814.33,521.17,3,0,1
2000.a2.txt,2011.1,1234.4,970.87,277.39,4,0,3
2005.a2.txt,2063.67,1196.49,724.48,472.01,1,0,2
2007.a2.txt,1821.16,1025.08,905.13,447.11,5,0,5
2009.a2.txt,1938.5,1042.78,909.09,347.59,0,0,1
2011.a2.txt,2349.4,807.23,867.47,554.22,1,0,2
2012.a2.txt,1786.16,1132.08,729.56,628.93,0,0,1
