Filename,RelFreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
2026.a5.txt,1792.72,840.34,737.63,438.84,4,5,1
0122.a5.txt,1758.93,1026.79,723.21,366.07,6,0,1
1013.a5.txt,1691.5,1130.59,692.38,297.98,3,3,2
0112.a5.txt,2155.64,1091.23,644.01,581.4,3,0,2
1061.a5.txt,1464.65,1077.44,589.23,235.69,15,2,3
0206.a5.txt,1482.08,952.77,708.47,358.31,5,1,5
1074.a5.txt,1922.03,1078.88,852.22,534.9,3,1,1
1012.a5.txt,1976.65,1025.85,742.29,325.27,3,0,0
2045.a5.txt,1918.92,1036.04,738.74,324.32,6,2,2
0102.a5.txt,1660.08,1035.57,877.47,268.77,7,3,5
1112.a5.txt,2012.15,1093.39,1025.06,523.92,6,0,1
0197.a5.txt,1482.08,887.62,374.59,333.88,7,1,5
1014.a5.txt,1875.0,1033.33,800.0,350.0,6,3,3
2032.a5.txt,1690.62,904.48,989.01,338.12,4,1,3
2071.a5.txt,2285.51,1061.88,893.11,400.84,2,0,1
1095.a5.txt,1492.54,1044.78,816.51,421.42,7,1,1
2048.a5.txt,1480.09,766.34,1029.3,323.07,14,1,5
2058.a5.txt,1439.57,939.18,615.86,346.42,8,1,5
0111.a5.txt,1671.34,1045.75,681.61,308.12,7,6,4
1121.a5.txt,1521.42,1070.9,679.47,509.6,4,2,2
0163.a5.txt,2322.92,929.17,883.47,434.12,1,0,0
0137.a5.txt,1808.01,1062.44,577.82,456.66,2,2,4
0115.a5.txt,1331.03,1080.38,751.94,484.01,11,2,2
0198.a5.txt,2140.08,1011.67,807.39,369.65,2,0,0
2005.a5.txt,1923.43,1121.24,619.87,337.28,4,1,4
1008.a5.txt,1916.93,1022.36,878.59,431.31,6,0,1
0157.a5.txt,1738.75,1173.87,635.48,591.35,3,0,0
2034.a5.txt,1716.25,884.82,610.22,373.76,6,2,12
0134.a5.txt,1753.55,987.36,710.9,473.93,4,1,3
1005.a5.txt,1809.67,1006.24,585.02,358.81,3,1,4
2021.a5.txt,1754.81,961.54,945.51,344.55,3,1,5
2012.a5.txt,2039.27,830.82,717.52,370.09,5,2,6
1099.a5.txt,1541.77,1111.11,611.54,335.92,11,1,0
