Filename,RelFreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
0303.b3.txt,1522.73,772.73,818.18,431.82,2,0,1
1100.b3.txt,1643.54,766.98,664.72,306.79,14,2,4
1532.b3.txt,1652.77,863.17,686.61,372.73,16,3,20
0103.b3.txt,1960.61,622.2,613.25,259.62,32,1,33
1520.b3.txt,1195.95,814.17,533.58,294.39,22,1,30
1533.b3.txt,1713.94,895.46,705.02,340.36,9,0,17
0310.b3.txt,1747.73,721.35,807.91,564.72,24,6,11
0300.b3.txt,1599.6,844.51,804.77,293.09,24,1,15
1102.b3.txt,1682.66,708.49,922.51,435.42,4,4,4
0105.b3.txt,1382.53,865.14,763.36,398.64,7,0,8
1112.b3.txt,1625.62,911.33,837.44,467.98,8,0,9
1023.b3.txt,1274.38,734.72,812.74,461.64,8,0,7
1069.b3.txt,1480.38,713.44,659.93,401.31,37,1,26
1057.b3.txt,1818.18,964.99,656.08,370.7,20,1,15
0307.b3.txt,1627.91,741.97,769.66,232.56,12,4,20
0200.b3.txt,1794.53,793.86,853.9,426.95,10,0,4
0313.b3.txt,1771.69,556.46,785.6,290.51,7,2,13
2034.b3.txt,1400.43,1144.83,601.7,404.69,18,0,12
1534.b3.txt,1706.55,839.73,975.17,496.61,14,0,10
0139.b3.txt,1970.5,849.56,837.76,365.78,11,1,9
0171.b3.txt,1640.48,785.67,817.1,314.27,12,1,20
1536.b3.txt,1831.9,748.92,684.27,468.75,13,3,6
0130.b3.txt,1579.22,761.32,694.44,426.95,12,5,12
0308.b3.txt,1766.2,902.16,844.98,705.21,4,1,4
0140.b3.txt,2765.96,689.36,604.26,272.34,6,0,2
1508.b3.txt,1528.18,869.15,654.25,315.19,18,1,19
0165.b3.txt,1714.95,656.01,632.7,249.75,44,0,23
0122.b3.txt,1406.25,807.29,604.17,265.62,14,2,16
0304.b3.txt,1717.61,844.25,618.63,443.96,7,3,9
2018.b3.txt,1792.18,1033.27,683.01,297.72,11,0,13
0134.b3.txt,1578.02,940.97,806.55,818.23,11,0,12
0133.b3.txt,1335.17,787.29,561.69,368.32,37,4,19
1066.b3.txt,1714.9,894.96,969.99,434.08,9,0,9
1097.b3.txt,1605.48,832.11,910.43,533.53,13,1,10
1082.b3.txt,2123.2,681.52,910.88,321.1,13,3,15
