Filename,RelFreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
0106.a1.txt,1543.21,1296.3,839.51,876.54,1,0,0
0155.a1.txt,1030.67,1558.28,736.2,822.09,0,0,0
1027.a1.txt,1455.7,1481.01,645.57,329.11,2,0,0
2045.a1.txt,1704.26,1403.51,651.63,513.78,1,0,0
1037.a1.txt,1210.05,1267.12,742.01,742.01,0,0,0
0108.a1.txt,1250.0,1328.95,447.37,631.58,1,0,0
1031.a1.txt,1207.79,1428.57,623.38,597.4,0,0,1
3041.a1.txt,1087.61,1299.09,725.08,392.75,0,0,0
1058.a1.txt,1255.19,1462.66,539.42,715.77,0,0,1
3064.a1.txt,1553.19,1404.26,680.85,680.85,0,0,0
0107.a1.txt,1213.39,1450.49,892.61,613.67,0,0,0
3065.a1.txt,1582.42,1274.73,527.47,395.6,0,0,2
1073.a1.txt,1331.06,1296.93,602.96,637.09,2,0,0
1098.a1.txt,1272.22,1347.05,570.63,720.3,5,0,0
2030.a1.txt,1195.8,1484.89,486.2,604.47,0,0,0
1049.a1.txt,1176.47,1457.8,652.17,639.39,0,0,0
1074.a1.txt,1544.19,1320.93,706.98,679.07,0,0,0
0125.a1.txt,1833.14,1116.33,846.06,587.54,0,1,0
1077.a1.txt,1553.64,1245.38,875.46,801.48,1,0,0
2019.a1.txt,1408.05,1350.57,660.92,603.45,1,0,0
0116.a1.txt,1342.18,1430.68,634.22,855.46,0,0,0
0158.a1.txt,1182.93,1524.39,634.15,646.34,0,0,0
0205.a1.txt,1276.36,1453.94,710.32,643.73,2,0,0
2008.a1.txt,1519.55,1139.66,905.03,681.56,3,1,1
2004.a1.txt,1491.53,1276.84,847.46,632.77,3,0,0
0221.a1.txt,1334.18,1410.42,673.44,622.62,1,1,3
1043.a1.txt,1352.6,1283.24,647.4,682.08,0,0,0
4043.a1.txt,1265.31,1387.76,673.47,673.47,0,0,0
2000.a1.txt,1482.18,975.61,731.71,525.33,0,0,0
0203.a1.txt,1489.36,1254.2,627.1,503.92,4,0,1
0227.a1.txt,1337.28,1408.28,674.56,603.55,1,0,1
0142.a1.txt,1551.96,1336.03,742.24,337.38,0,0,3
0138.a1.txt,1374.23,1276.07,760.74,723.93,1,0,0
2056.a1.txt,1315.07,1260.27,616.44,698.63,0,0,2
3002.a1.txt,1449.63,1253.07,1056.51,565.11,0,0,1
1092.a1.txt,1027.4,1328.77,575.34,904.11,0,0,0
1088.a1.txt,1489.8,1357.14,663.27,428.57,2,0,1
0143.a1.txt,1426.78,1326.66,675.84,713.39,1,0,1
5022.a1.txt,1465.72,1300.24,496.45,756.5,2,0,0
0105.a1.txt,1256.22,1405.47,621.89,646.77,2,0,2
2005.a1.txt,1482.19,1231.95,741.1,635.23,2,0,0
1095.a1.txt,1331.69,1171.39,653.51,678.18,1,0,1
3013.a1.txt,1066.1,1279.32,660.98,682.3,3,4,0
0216.a1.txt,1367.09,1303.8,696.2,341.77,1,0,1
2040.a1.txt,1646.23,1313.49,647.99,630.47,1,0,1
1097.a1.txt,1371.31,1308.02,696.2,907.17,0,0,0
1057.a1.txt,1314.5,1597.05,687.96,589.68,0,0,0
2042.a1.txt,1063.55,1309.99,687.42,635.54,2,0,0
0157.a1.txt,1133.79,1575.96,544.22,487.53,0,0,0
0102.a1.txt,1499.4,1221.28,689.24,483.68,1,0,0
0178.a1.txt,1279.19,1076.14,680.2,862.94,0,0,1
1019.a1.txt,1555.37,1099.35,716.61,765.47,6,0,4
