Filename,RelFreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
0101.a3.txt,1990.95,1097.29,735.29,452.49,1,0,3
0102.a3.txt,1821.35,1102.09,545.24,371.23,2,0,0
0103.a3.txt,2037.85,887.92,1048.03,582.24,7,0,2
0104.a3.txt,1653.94,1106.87,623.41,534.35,2,0,0
0105.a3.txt,1653.85,1307.69,641.03,794.87,2,0,2
0106.a3.txt,2211.18,956.52,770.19,596.27,1,0,0
0107.a3.txt,2247.47,1035.35,858.59,479.8,4,0,0
0109.a3.txt,1915.71,1264.37,447.0,408.68,2,0,0
0110.a3.txt,2027.71,1259.45,680.1,503.78,2,0,1
0111.a3.txt,1938.91,1168.66,531.21,398.41,3,0,1
0112.a3.txt,2052.19,1055.75,723.61,640.57,1,0,0
0115.a3.txt,2228.05,1179.55,668.41,707.73,0,0,0
0118.a3.txt,2544.91,1107.78,883.23,344.31,0,0,2
0119.a3.txt,2127.92,1107.01,738.01,467.4,1,0,2
0120.a3.txt,2118.16,1023.05,936.6,547.55,0,0,0
0121.a3.txt,1861.07,1009.17,471.82,563.56,2,0,0
0122.a3.txt,2358.72,1093.37,675.68,454.55,0,0,1
0125.a3.txt,2087.5,925.0,1025.0,475.0,3,0,2
0127.a3.txt,1867.98,997.19,730.34,533.71,8,0,1
0128.a3.txt,1975.81,1142.47,510.75,645.16,3,0,2
0130.a3.txt,1572.25,982.66,682.08,716.76,2,0,0
0131.a3.txt,2154.63,1064.64,709.76,709.76,0,0,0
0133.a3.txt,1806.98,985.63,533.88,646.82,4,0,2
0134.a3.txt,2102.07,984.2,1008.51,595.38,0,0,0
0135.a3.txt,2005.11,1123.88,651.34,421.46,1,0,0
0136.a3.txt,2009.35,1226.64,630.84,443.93,0,0,0
0137.a3.txt,2004.98,921.54,797.01,672.48,0,0,1
0138.a3.txt,2062.31,1275.96,637.98,356.08,0,0,0
0139.a3.txt,2005.24,1336.83,655.31,340.76,0,0,0
0142.a3.txt,2171.43,1161.9,990.48,304.76,0,0,0
0143.a3.txt,2226.15,942.29,600.71,400.47,5,0,0
0146.a3.txt,1555.56,1432.1,617.28,530.86,3,0,0
0149.a3.txt,2122.99,1163.98,578.33,636.9,0,0,0
0155.a3.txt,1851.04,1051.48,755.75,460.02,2,0,1
0156.a3.txt,1982.43,1166.88,577.16,414.05,2,0,0
0157.a3.txt,1445.93,1202.92,595.38,558.93,0,0,0
0158.a3.txt,1784.74,1198.91,762.94,490.46,2,0,0
0159.a3.txt,2176.54,1100.36,532.04,604.59,1,0,5
0161.a3.txt,2129.03,954.84,838.71,490.32,0,0,0
0162.a3.txt,2376.11,889.45,724.27,419.31,0,0,1
0163.a3.txt,1753.77,987.22,696.86,615.56,0,0,2
0165.a3.txt,1735.26,1212.46,622.91,467.19,4,0,1
0168.a3.txt,1690.69,1218.87,681.52,484.93,1,0,2
0169.a3.txt,2168.67,1048.19,614.46,445.78,2,0,4
0171.a3.txt,1807.36,1298.7,627.71,551.95,2,0,0
0172.a3.txt,2094.12,1082.35,764.71,435.29,1,0,0
0173.a3.txt,2151.9,1209.56,548.52,520.39,1,0,1
0174.a3.txt,1941.34,1103.35,1145.25,446.93,1,0,1
0175.a3.txt,1905.97,1181.7,559.09,381.19,1,0,0
0176.a3.txt,2135.92,1067.96,497.57,412.62,4,0,0
0177.a3.txt,1846.5,1023.36,689.66,689.66,4,0,0
0178.a3.txt,2129.24,1027.54,805.08,625.0,0,0,1
0179.a3.txt,2252.68,1168.06,584.03,405.24,2,0,2
0182.a3.txt,2094.12,1129.41,647.06,600.0,0,0,2
0185.a3.txt,1927.02,1094.64,604.33,478.91,2,0,2
0186.a3.txt,1903.55,1027.92,799.49,736.04,2,0,0
0187.a3.txt,1681.3,1016.31,878.29,476.79,7,0,1
0188.a3.txt,1725.89,1205.58,761.42,545.69,1,0,1
0189.a3.txt,1933.15,1165.31,569.11,514.91,0,0,0
0190.a3.txt,1554.29,1257.14,537.14,468.57,1,0,3
0192.a3.txt,1524.06,1283.42,561.5,240.64,1,0,0
0193.a3.txt,2063.29,1227.85,594.94,354.43,2,1,0
0195.a3.txt,1984.83,986.09,429.84,632.11,1,0,1
0196.a3.txt,1988.57,1257.14,742.86,320.0,0,0,0
0198.a3.txt,1847.44,1036.95,476.76,488.68,2,1,0
0199.a3.txt,1929.18,1123.32,586.08,549.45,0,0,2
0200.a3.txt,2181.82,1064.94,740.26,792.21,0,0,1
0202.a3.txt,1989.05,1167.88,948.91,419.71,0,0,1
0203.a3.txt,2394.2,1112.45,749.7,386.94,4,0,1
0204.a3.txt,2061.71,1150.07,575.04,532.96,2,0,1
0205.a3.txt,2074.3,1042.31,619.2,454.08,2,0,1
0206.a3.txt,2289.97,1043.36,609.76,325.2,3,0,0
0207.a3.txt,1668.84,1264.67,625.81,312.91,0,1,0
0208.a3.txt,1940.83,1242.6,461.54,769.23,0,0,0
0209.a3.txt,2294.87,1179.49,576.92,282.05,3,0,3
0213.a3.txt,1804.25,1379.72,790.09,412.74,1,0,0
0214.a3.txt,1714.63,971.22,863.31,551.56,5,0,3
0215.a3.txt,1736.17,1268.09,459.57,425.53,2,0,4
0216.a3.txt,2359.28,970.06,694.61,455.09,1,0,1
0218.a3.txt,1961.26,1259.08,593.22,351.09,0,0,1
0219.a3.txt,2150.4,1240.11,567.28,606.86,1,0,1
0221.a3.txt,1920.34,1280.23,583.21,327.17,0,0,0
0222.a3.txt,1895.16,1330.65,551.08,443.55,2,0,1
0223.a3.txt,1849.23,1130.74,612.49,647.82,0,0,2
0224.a3.txt,1901.68,983.18,685.64,478.65,6,0,4
0226.a3.txt,2009.13,981.74,513.7,559.36,2,0,0
0227.a3.txt,1915.18,1094.39,725.03,492.48,1,0,1
0231.a3.txt,2320.51,1076.92,692.31,474.36,1,0,0
0232.a3.txt,1791.04,1305.97,783.58,447.76,1,0,1
0234.a3.txt,1815.75,1094.79,587.45,413.89,2,0,4
0235.a3.txt,1700.51,1167.51,494.92,355.33,1,0,1
0236.a3.txt,1845.24,1250.0,580.36,669.64,2,0,0
0237.a3.txt,2276.21,971.87,856.78,358.06,0,0,1
0238.a3.txt,1821.61,1319.1,590.45,301.51,0,0,0
1003.a3.txt,2245.07,1175.99,740.13,419.41,7,0,1
1005.a3.txt,2052.57,1151.44,700.88,488.11,0,0,0
1006.a3.txt,1856.35,1226.52,784.53,618.78,2,1,2
1007.a3.txt,2034.96,1173.53,724.09,611.74,0,0,0
1008.a3.txt,1842.42,1018.18,593.94,618.18,1,0,2
1009.a3.txt,1945.64,1187.41,786.84,357.65,0,0,1
1012.a3.txt,2106.67,1186.67,733.33,453.33,1,0,1
1013.a3.txt,1933.42,1088.35,601.79,396.93,1,0,2
1014.a3.txt,2191.01,1081.46,632.02,337.08,2,0,1
1017.a3.txt,1968.15,1285.55,739.48,580.2,0,0,0
1018.a3.txt,1906.67,1360.0,680.0,506.67,0,0,0
1020.a3.txt,2023.35,1138.13,622.57,583.66,1,0,0
1021.a3.txt,1787.88,1287.88,590.91,439.39,1,0,2
1022.a3.txt,2223.74,1268.76,695.77,381.99,1,0,1
1023.a3.txt,1783.78,1016.22,681.08,854.05,3,1,0
1032.a3.txt,1542.99,1307.42,789.16,683.16,0,0,0
1034.a3.txt,2066.57,1095.7,638.0,319.0,1,0,1
1036.a3.txt,2105.26,977.44,726.82,476.19,1,0,0
1041.a3.txt,1775.36,1256.04,640.1,386.47,8,0,1
1043.a3.txt,1820.39,1055.83,703.88,643.2,5,0,2
1048.a3.txt,2378.19,1206.5,545.24,533.64,0,0,0
1049.a3.txt,1784.34,1309.37,680.36,577.66,0,0,0
1050.a3.txt,2213.54,1119.79,611.98,455.73,1,0,0
1052.a3.txt,2259.08,1137.44,631.91,347.55,1,0,0
1055.a3.txt,1779.31,1227.59,717.24,593.1,2,0,2
1057.a3.txt,1743.53,1169.85,686.16,517.44,1,0,1
1058.a3.txt,2443.18,1136.36,568.18,488.64,1,0,2
1060.a3.txt,1878.79,1127.27,727.27,521.21,0,0,1
1061.a3.txt,1853.45,1120.69,574.71,459.77,0,0,0
1064.a3.txt,2223.62,1206.03,665.83,527.64,0,0,0
1065.a3.txt,1955.47,1122.94,677.64,551.79,0,0,1
1066.a3.txt,2073.17,1219.51,621.95,512.2,0,0,1
1067.a3.txt,1619.61,1144.13,817.24,386.33,5,0,0
1068.a3.txt,1929.82,1286.55,643.27,453.22,0,1,0
1069.a3.txt,1921.75,828.54,632.91,402.76,3,0,2
1070.a3.txt,2185.79,1311.48,642.08,464.48,1,0,1
1072.a3.txt,2188.52,1007.58,758.4,509.21,0,0,0
1074.a3.txt,1936.99,1166.86,700.12,455.08,0,0,0
1077.a3.txt,2391.02,1043.59,819.02,462.35,1,1,1
1081.a3.txt,1653.33,880.0,800.0,533.33,1,0,1
1088.a3.txt,2006.44,1223.18,633.05,439.91,2,1,0
1090.a3.txt,1820.36,1101.8,586.83,443.11,2,0,1
1094.a3.txt,1872.66,1298.38,611.74,486.89,1,0,0
1095.a3.txt,1987.88,1103.03,569.7,400.0,4,0,3
1097.a3.txt,2345.31,1147.7,708.58,389.22,1,1,1
1098.a3.txt,1726.19,1180.56,416.67,505.95,5,0,3
1099.a3.txt,2242.6,1015.51,705.22,366.71,1,0,0
1100.a3.txt,2210.8,1053.98,758.35,437.02,0,0,0
1102.a3.txt,2087.5,1100.0,537.5,575.0,2,0,0
1103.a3.txt,1461.54,1065.93,648.35,659.34,4,0,3
1104.a3.txt,2164.25,1217.39,473.43,560.39,2,0,0
1105.a3.txt,1782.61,1130.43,619.57,532.61,2,0,1
1106.a3.txt,1930.76,1185.09,625.83,412.78,2,0,1
1109.a3.txt,1926.3,1323.28,720.27,569.51,0,0,0
1112.a3.txt,1740.2,1299.02,649.51,539.22,1,0,0
1121.a3.txt,1945.95,1016.22,735.14,497.3,9,0,2
2000.a3.txt,2185.19,901.23,629.63,296.3,0,0,1
2005.a3.txt,1523.38,1161.39,739.06,693.82,0,1,2
