Filename,RelFreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
0106.b7.txt,1764.71,1259.03,835.91,516.0,0,1,1
0107.b7.txt,1634.72,1082.3,1037.2,541.15,0,1,6
0137.b7.txt,2117.88,969.03,819.18,349.65,4,1,2
0151.b7.txt,1936.71,1075.95,911.39,443.04,2,0,2
0157.b7.txt,1272.08,1224.97,883.39,588.93,5,1,1
0158.b7.txt,1840.56,1230.95,738.57,492.38,1,1,0
0178.b7.txt,1991.9,1028.34,955.47,720.65,4,0,3
0185.b7.txt,1819.11,1158.54,823.17,619.92,1,0,0
0186.b7.txt,1716.33,1096.54,738.97,643.62,0,0,1
0198.b7.txt,2027.03,1081.08,810.81,503.69,0,0,2
0219.b7.txt,2096.96,1003.38,1014.66,586.25,1,1,0
0223.b7.txt,1984.3,1042.6,863.23,448.43,0,0,2
0224.b7.txt,2104.54,1031.64,949.11,316.37,1,1,1
0238.b7.txt,1689.84,1187.17,716.58,556.15,1,0,1
0318.b7.txt,2079.47,913.91,821.19,516.56,1,0,0
