Filename,RelFreq_NOUN,RelFreq_VERB,RelFreq_ADJ,RelFreq_ADV,Unique_PER,Unique_LOC,Unique_ORG
0200.b5.txt,1683.29,997.51,692.02,523.69,7,0,2
0300.b5.txt,1770.03,815.33,752.61,411.15,15,1,10
2019.b5.txt,1373.32,1152.33,497.24,331.49,6,0,2
0310.b5.txt,1550.73,1033.82,797.7,516.91,9,0,2
2034.b5.txt,1520.42,953.1,756.43,438.73,10,0,3
0165.b5.txt,1715.3,967.97,661.92,398.58,10,0,0
2066.b5.txt,1301.15,1407.53,531.91,368.25,7,0,2
0140.b5.txt,1400.0,1025.81,561.29,496.77,10,0,1
1023.b5.txt,1384.89,1241.01,671.46,593.53,12,2,2
1021.b5.txt,1755.39,1020.28,583.02,291.51,12,1,4
1100.b5.txt,1764.71,1090.39,710.19,337.16,14,0,2
1508.b5.txt,1226.48,1168.07,408.83,434.78,16,0,4
3018.b5.txt,1470.59,1013.07,705.88,529.41,7,0,2
1532.b5.txt,1511.18,1249.04,400.93,331.53,12,0,1
3020.b5.txt,1701.42,825.69,792.33,283.57,9,0,2
1533.b5.txt,1498.56,1206.26,481.68,424.04,14,0,4
2032.b5.txt,977.6,1237.27,529.53,509.16,11,1,2
2028.b5.txt,1313.83,1336.78,464.72,384.39,10,0,6
0103.b5.txt,1740.47,1071.06,839.34,365.6,13,0,1
1003.b5.txt,1520.67,1128.24,532.59,427.47,8,0,2
1057.b5.txt,1569.3,979.38,790.38,452.46,9,0,1
